nctid,group_id,title,description,seriousNumAffected,seriousNumAtRisk
NCT01313884,EG000,Combination Therapy,"Regimen A alternate with Regimen B every 21 days

Regimen A:

Cytoxan=1200mg/m2 Doxorubicin=75mg/m2 (Maxiumum allowed dose 450mg/m2) Vincristine=2mg/m2 (capped at 2mg total dose)

Regimen B:

Irinotecan=50 mg/m2/day x 5 days Temozolomide=100 mg/m2/day x 5 days followed by two weeks of treatment-free period.

Irinotecan: 50 mg/m2/day x 5 days

Vincristine: 2 mg/m2 (capped at 2mg total do)

Temozolomide: 100 mg/m2/day x 5 days

Doxorubicin: 75 mg/m2

Cytoxan: 1200 mg/m2

Pegfilgrastim: 6 mg

Mesna: 240 mg/m2 in 50 ml NS",1,3
NCT01893879,EG000,(RS)2-(3-benzoylphenyl)-Propionic Acid,"Patients receive study drug PO TID for up to 1 year in the absence of disease progression or unacceptable toxicity.

Laboratory biomarker analysis will be performed.

(RS)2-(3-benzoylphenyl)-propionic acid: Given PO

laboratory biomarker analysis: Correlative studies",0,7
NCT01893879,EG001,Placebo for Study Drug,"Patients receive placebo PO TID for up to 1 year in the absence of disease progression or unacceptable toxicity.

Laboratory biomarker analysis will be performed.

placebo for study drug: Given PO

laboratory biomarker analysis: Correlative studies",0,7
NCT01928030,EG000,Recombinant Human Hyaluronidase,"Participants who received 450 units recombinant human hyaluronidase (rHuPH20) subcutaneously in Phase 1 were assessed in this outcome measure, treatment-related adverse events.

Biomarker analysis and pharmacology study were performed during study.

recombinant human hyaluronidase: Given subcutaneously",0,3
NCT01823679,EG000,Capecitabine 1000 mg/m²,"Participants are to receive 500 mg/m² of capecitabine orally (PO) twice daily (BID) on days 1 to 14. Courses repeat every 21 days in the absence of disease progression or unacceptable toxicity. After completion of study treatment, patients are followed up for 2 years.",1,2
NCT00481832,EG000,T & B Cell Mobilization Auto & Allo HCT,"A transplant regimen that conditions the subjects using total lymphoid irradiation (TLI) and anti-thymocyte globulin(ATG) which will reduce acute graft-vs-host disease to negligible rates while maintaining the anti-tumor graft vs lymphoma GvL benefit. Along with TLI/ATG regiment; Solumedrol will be used as pre-medication and anti-emetic for any side effects. For stem cell mobilization, participants will be given either B Cell NLH or T Cell NHL. Before the filgrastim (G-CSF) mobilized PBPC infusion: acetaminophen, diphenhydramine and hydrocortisone will also be given as another set of pre-medications. BCNU, Etoposide, and Cyclophosphamide will be used as a preparative regimen. Cyclosporine and mycophenolate mofetil will be administered as an immunosuppressant after transplantation. Lastly, rituximab will be infused at the end of the transplantation regimen.",5,50
NCT02877732,EG000,Concussed Subject,"EYE-SYNC eye-tracking device, Level of Alertness, SCAT-3 subtests (Symptom, Immediate memory, Balance and Orientation), Simple Reaction Time subtest of ANAM-SRT and DEM.",0,0
NCT02877732,EG001,Control Subject,"EYE-SYNC eye-tracking device, Level of Alertness, SCAT-3 subtests (Symptom, Immediate memory, Balance and Orientation), Simple Reaction Time subtest of ANAM-SRT and DEM.",0,0
NCT02415608,EG000,Ibrutinib 420 mg/Day,"Participants receive ibrutinib daily on days 1 to 28, at 420 mg/day in 28-day cycles

Ibrutinib: Given orally",1,3
NCT02415608,EG001,Ibrutinib 560 mg/Day,"Participants receive ibrutinib daily on days 1 to 28, at 560 mg/day in 28-day cycles

Ibrutinib: Given orally",0,1
NCT01846624,EG000,"Decitabine, Then Midostaurin","INDUCTION THERAPY Subjects receive decitabine intravenously (IV) over 1 hour on days 1 to 10 and midostaurin orally (PO) twice daily (BID) on days 11 to 28. Treatment repeats every 28 days until documented bone marrow response is achieved or for up to 12 courses in the absence of disease progression or unacceptable toxicity. Patients achieving documented bone marrow response by course 6 continue treatment with induction therapy; patients achieving response after course 6 proceed to post-remission therapy.

POST-REMISSION THERAPY Subjects receive decitabine IV over 1 hour on days 1 to 5 and midostaurin PO BID on days 6 to 28. Treatment repeats every 28 days for up to 12 courses (including induction therapy) in the absence of disease progression or unacceptable toxicity.

After completion of study treatment, patients are followed up for up to 1 year.

Decitabine: Given IV

Midostaurin: Given PO",13,13
NCT03206216,EG000,Group A - Painful CIPN,"Participants with painful chemotherapy-induced peripheral neuropathy (CIPN) undergo Diode Laser fiber type Selective Stimulator (DLss) test over 30 minutes at 9 and 21 weeks after the first day of standard of care chemotherapy. A questionnaire is used to assess the level of pain after stimulation.

Diode Laser fiber type Selective Stimulator (DLss): A laser device to assess pain sensitivity to stimulation",0,0
NCT03206216,EG001,Group B - Painless CIPN,"Participants with painless chemotherapy-induced peripheral neuropathy (CIPN) undergo Diode Laser fiber type Selective Stimulator (DLss) test over 30 minutes at 9 and 21 weeks after the first day of standard of care chemotherapy. A questionnaire is used to assess the level of pain after stimulation.

Diode Laser fiber type Selective Stimulator (DLss): A laser device to assess pain sensitivity to stimulation",0,1
NCT01472445,EG000,Non-obese (Body Mass Index ≤ 25),"Non-obese participants receive Vitamin D at 400 or 10,000 IU/day",0,25
NCT01472445,EG001,Obese (Body Mass Index > 25),"Obese participants receive Vitamin D at 400 or 10,000 IU/day",1,16
NCT00568633,EG000,Allo-HSCT + TLI + ATG,"Participants achieving complete remission after consolidation therapy \& who have 5 of 6 HLA-match sibling donor to provide PBSC harvest for transplant. Pre-transplant subjects receive:

* Total lymphoid radiation (TLI) Days -11 to -7, and Days -4 to -1 (2 fractions on day -1)
* Anti-thymocyte globulin (ATG) Days -11 to -7
* Methylprednisolone Days -11 to -7
* Cyclosporine (CSP) Days -4 to +2
* 5+ of 6 HLA-matched CD34+ cells on Day 0
* Mycophenolate mofetil (MMF), Day 0 to Day +28

Allogeneic HSCT: Allogeneic, 5+ of 6 HLA-matched PBSC transplant from sibling, mobilized to target of 5 x 10e6 CD34+ cells/kg and \< 7 x 10e8 CD3+ cells/kg.

Anti-thymocyte globulin (ATG): 1.5 mg/kg for 5 days by IV

Cyclosporine (CSP): 6.25 mg/kg twice daily oral

Mycophenolate mofetil (MMF): 15 mg/kg twice daily oral

Total lymphoid irradiation (TLI): 80 cGy/fraction radiotherapy in 10 fractions.

Methylprednisolone sodium succinate: 1.0 mg/kg for 5 days by IV",20,25
NCT00568633,EG001,Best Standard Care,"Regular medical care for participants who achieve complete remission after standard consolidation therapy, but do not have a 5 of 6 HLA-match sibling donor. Treatment may consist of:

* Additional consolidation chemotherapy (3-4 cycles of cytarabine +/- an anthracycline agent, or other consolidation)
* Autologous transplantation
* Non-Myeloablative unrelated-donor transplant, +/- TLI and ATG conditioning
* Umbilical cord blood transplantation
* Haploidentical transplantation

Best standard care: Intervention consist of:

* Consolidation chemotherapy (3-4 cycles of cytarabine +/- an anthracycline agent, or other consolidation)
* Autologous transplantation
* Non-Myeloablative unrelated-donor transplant, +/- TLI and ATG conditioning
* Umbilical cord blood transplantation
* Haploidentical transplantation",24,33
NCT03061279,EG000,Acutrak Fixation,"Fixation by Acutrak headless screw: The fixation provided by the Acutrak headless compression screws provide sufficient fixation to achieve union and a favorable clinical outcome in both horizontal and vertical medial malleolus fractures when compared to bicortical and unicortical screw fixation, tension band wiring, and mini-fragment or buttress plating",0,0
NCT03061279,EG001,Standard of Care Fixation,"Fixation by headed screws, plates, and or wires: DePuy-Synthes Cannulated Cancellous Screws, DePuy-Synthes Cancellous Screws, DePuy-Synthes Cortical Screws, DePuy-Synthes 1/3 Tubular Plate, DePuy-Synthes Locking contrast dynamic compression (LC-DCP) Plate, DePuy-Synthes Pre-contoured Plate, and/or 18g Wire are the alternative methods of treatment of medial malleolus fracture.",0,1
NCT02270684,EG000,Device,"Participants in this arm will receive the StepRite device. They will have a remote visit with their Physical Therapist in place of one in-person visit per week during the outpatient phase of their treatment

StepRite: The StepRite device uses an insole to monitor motion, and relays this information to the physical therapist via a smart phone app and web link. Set exercises can be programmed into the app for the participant to complete",0,1
NCT02270684,EG001,Usual and Customary Care,Participants in this arm will undergo usual care and will not be issued with the StepRite device,0,3
NCT03104816,EG000,Acetaminophen IV Soln 10 MG/ML (A),"Patients in group A will receive 1 g of IV acetaminophen 15 minutes prior to wound incision, and every 4 to 6 hours postoperatively for a total of 4 grams in 24 hours.

Acetaminophen IV Soln 10 MG/ML

Hydromorphone

No adverse events.",0,8
NCT03104816,EG001,PO Acetaminophen (B),"Patients in group B will receive 1 g of PO acetaminophen prior to surgery, and 1 g of oral acetaminophen every 4 to 6 hours postoperatively for a total of 4 grams in 24 hours.

Acetaminophen

Hydromorphone

No adverse events.",0,8
NCT03104816,EG002,Hydromorphone (Control Arm) (C),"Patients in the control arm (Group C) will not receive acetaminophen for 24 hours.

Hydromorphone

No adverse events.",0,4
