"nctid","reason_for_termination","anticipated_enrollment","actual_enrollment","has_summary_result","start_date","stop_date","trial_days","source"
"NCT02605304","The study experienced enrollment difficulties.",40,7,TRUE,"2016/02/17 00:00:00","2017-01-20",339,"Contrast"
"NCT02215161","Risk to benefit ratio is not acceptable",54,14,TRUE,"2014/09/02 00:00:00","2017-02-15",898,"Contrast"
"NCT02428309","Due to participant recruitment feasibility",18,1,TRUE,"2015/08/27 00:00:00","2016-09-02",373,"Contrast"
"NCT01116661","The primary objective for high grade gliomas has been met and the FDA has now approved the drug (Gleolan) for use in the United States.",50,199,TRUE,"2010/08/01 00:00:00","2017-12-28",2707,"Contrast"
"NCT02147301","Risk to benefit ratio is not acceptable",51,17,TRUE,"2014/12/17 00:00:00","2017-01-27",773,"Contrast"
"NCT02444793","The study was terminated due to marginal efficacy and change in sponsor prioritization. The combination had a manageable safety profile.",70,24,TRUE,"2015/05/01 00:00:00","2017-09-26",855,"Contrast"
"NCT02465983","Lack of efficacy and funding to continue investigation",12,4,FALSE,"2015/05/01 00:00:00","2017-09-01",855,"Contrast"
"NCT02205307","Slow recruitment",800,347,TRUE,"2015/01/01 00:00:00","2017-05-01",852,"Contrast"
"NCT02254902","Changes in funding status",100,27,FALSE,"2014/09/01 00:00:00","2015-12-01",457,"Contrast"
"NCT01601626","The study was stopped early due to feasibility concerns.",426,71,TRUE,"2013/07/13 00:00:00","2017-01-19",1287,"Contrast"
"NCT01098422","Halted due to slow enrollment",34,10,TRUE,"2010/01/01 00:00:00","2015-01-01",1827,"Contrast"
"NCT02093962","At the interim analysis, the futility boundary was not met and the study was stopped due to insufficient efficacy.",440,265,TRUE,"2014/06/01 00:00:00","2016-04-01",671,"Contrast"
"NCT02508441","Part 1 of the study was completed and the maximum tolerated dose determined. Part 2 of the study was terminated and will be conducted under a new protocol.",76,22,FALSE,"2015/12/08 00:00:00","2017-11-13",707,"Contrast"
"NCT01562132","Stopped in accordance with pre-specified stopping rules for poor recruitment.",100,6,TRUE,"2013/09/01 00:00:00","2014-07-01",304,"Contrast"
"NCT01841307","Difficulty recruiting; Funding ended; interim analysis provided sufficient data for interpretation.",15,16,FALSE,"2015/07/01 00:00:00","2017-03-01",610,"Contrast"
"NCT01313923","Lack of funding",15,3,TRUE,"2011/02/01 00:00:00","2014-10-01",1339,"Contrast"
"NCT01510756","slow enrollment",10,4,TRUE,"2011/12/01 00:00:00","2014-05-01",883,"Contrast"
"NCT01838499","At the planned IA for decision making, no evidence was demonstrated of MEDI8968 activity in reducing (HS) severity or pain over that seen with placebo.",100,224,TRUE,"2013/05/01 00:00:00","2014-10-01",519,"Contrast"
"NCT01391949","no reason posted",70,7,FALSE,"2011/07/01 00:00:00","2015-06-01",1432,"Contrast"
"NCT02046928","Slow enrollment",20,5,FALSE,"2014/02/01 00:00:00","2015-11-01",639,"Contrast"
"NCT02327637","Low recruitment",130,5,FALSE,"2014/12/01 00:00:00","2016-12-12",743,"Contrast"
"NCT00771862","Could not secure funding to complete the study.",30,16,FALSE,"2008/10/01 00:00:00","2017-05-30",3164,"Contrast"
"NCT02644122","Slow enrollment",29,1,TRUE,"2016/11/01 00:00:00","2017-06-01",213,"Contrast"
"NCT02177773","FDA approved agent for this indication during enrollment",120,300,TRUE,"2014/06/23 00:00:00","2017-08-07",1142,"Contrast"
"NCT02078895","The study was terminated due to low enrollment",80,15,FALSE,"2014/02/01 00:00:00","2017-02-01",1097,"Contrast"
"NCT02591381","Study was started but closed prior to completion because we could not meet enrollment numbers",400,3,FALSE,"2015/10/01 00:00:00","2017-10-01",732,"Contrast"
"NCT02719730","Change in study design to be a pilot with no randomization to intervention&#x2F;control",60,5,FALSE,"2016/06/22 00:00:00","2016-08-02",42,"Contrast"
"NCT02317276","Unable to meet the study&#x27;s recruitment goals",15,11,TRUE,"2014/12/01 00:00:00","2017-04-06",858,"Contrast"
"NCT02634606","Unable to obtain supplement for this study. Unable to recruit.",NA,13,TRUE,"2011/03/22 00:00:00","2017-10-01",671,"Contrast"
"NCT02745353","Couldn&#x27;t enough accrue patients",60,7,TRUE,"2016/05/01 00:00:00","2017-06-22",418,"Contrast"
"NCT02368691","Lack of Efficacy",55,32,TRUE,"2015/06/01 00:00:00","2017-09-22",845,"Contrast"
"NCT01390584","slow accrual",200,6,TRUE,"2012/04/02 00:00:00","2014-01-01",641,"Contrast"
"NCT01683747","Lower than anticipated enrollment",200,4,FALSE,"2012/06/01 00:00:00","2014-11-01",884,"Contrast"
"NCT01829347","Due to results from the VTI-208 study, the ELAD plan is being re-evaluated.",100,18,TRUE,"2014/04/01 00:00:00","2015-10-01",549,"Contrast"
"NCT02354092","no reason posted",108,14,TRUE,"2015/04/02 00:00:00","2015-08-25",146,"Contrast"
"NCT02605824","The study was closed after we determined that this albuterol&#x2F;NAC regimen may be associated with excessive bronchoconstriction.",20,1,TRUE,"2016/03/01 00:00:00","2017-12-01",641,"Contrast"
"NCT01545648","Low Accrual",45,4,TRUE,"2012/11/01 00:00:00","2015-06-09",951,"Contrast"
"NCT00632827","Manufacturing shortage of both Diftitox and Doxil",45,21,TRUE,"2008/07/01 00:00:00","2014-06-23",2184,"Contrast"
"NCT01641601","Inadequate enrollment. Key study personnel transitioned to a different role.",80,8,TRUE,"2012/07/01 00:00:00","2015-07-01",1096,"Contrast"
"NCT02567448","Failed to accrue",100,24,FALSE,"2015/07/01 00:00:00","2016-08-11",408,"Contrast"
"NCT01821443","Loss of funding",45,10,FALSE,"2012/12/01 00:00:00","2015-10-22",1056,"Contrast"
"NCT01709474","Due to slow enrollment",78,7,TRUE,"2013/06/01 00:00:00","2014-07-01",396,"Contrast"
"NCT02307552","The probe could not be anchored in place and would rotate about its axis, thus comparison was difficult.",10,1,TRUE,"2013/06/01 00:00:00","2014-04-01",305,"Contrast"
"NCT01721603","Low accrual",39,2,TRUE,"2013/04/01 00:00:00","2016-01-01",1006,"Contrast"
"NCT01780636","POOR RECRUITMENT",30,7,TRUE,"2013/01/01 00:00:00","2014-01-01",366,"Contrast"
"NCT02294981","Protocol was changed to make it easier for treating doctors. No safety concerns",30,4,TRUE,"2016/01/01 00:00:00","2017-09-01",610,"Contrast"
"NCT02524106","Industry won&#x27;t be moving forward with production of bococizumab",200,11,TRUE,"2016/08/01 00:00:00","2019-04-01",974,"Contrast"
"NCT01211756","Break in funding",20,1,TRUE,"2010/10/01 00:00:00","2015-02-01",1585,"Contrast"
"NCT02672033","slow enrollment",10,2,TRUE,"2015/09/01 00:00:00","2018-07-17",1051,"Contrast"
"NCT01046773","Low enrollment",20,3,FALSE,"2010/01/01 00:00:00","2017-05-01",2678,"Contrast"
"NCT01773746","Poor Recruitment",1260,80,FALSE,"2013/08/01 00:00:00","2017-03-01",1309,"Contrast"
"NCT01617291","A similar study was recently published with definitive results.",400,46,FALSE,"2013/03/01 00:00:00","2014-02-01",338,"Contrast"
"NCT01737593","Interim analysis revealed a negative effect.",246,108,TRUE,"2012/11/01 00:00:00","2014-04-01",517,"Contrast"
"NCT01943188","no reason posted",14,2,FALSE,"2014/05/01 00:00:00","2016-03-01",671,"Contrast"
"NCT02381392","Insufficient enrollment, investigator left institution",260,23,TRUE,"2014/08/01 00:00:00","2016-11-19",842,"Contrast"
"NCT01290523","Off study clinical use of Y90 glass microspheres (TheraSphere)",30,14,TRUE,"2010/05/01 00:00:00","2014-05-01",1462,"Contrast"
"NCT01778855","no reason posted",120,6,TRUE,"2013/02/01 00:00:00","2015-08-01",912,"Contrast"
"NCT01502761","No safety issues. Low enrollment secondary to negative stroke studies 2013",20,4,TRUE,"2012/03/01 00:00:00","2016-05-01",1523,"Contrast"
"NCT00610467","Slow accrual",120,2,TRUE,"2006/10/01 00:00:00","2016-10-01",3654,"Contrast"
"NCT02170298","Lack of enrollment",40,6,TRUE,"2014/02/01 00:00:00","2015-06-01",486,"Contrast"
"NCT01402544","Per study sponsor decision.",40,20,TRUE,"2011/07/01 00:00:00","2015-03-01",1340,"Contrast"
"NCT00751101","Low Accrual",80,24,TRUE,"2007/08/20 00:00:00","2014-03-24",2409,"Contrast"
"NCT02728700","Accrual factor",9,1,FALSE,"2016/02/01 00:00:00","2018-07-01",882,"Contrast"
"NCT01615042","Lack of enrollment",18,6,FALSE,"2012/08/01 00:00:00","2017-05-01",1735,"Contrast"
"NCT01138553","Inadequate subject accrual",66,4,FALSE,"2010/06/01 00:00:00","2014-06-01",1462,"Contrast"
"NCT02280395","Company merger resulted in business decision to terminate the study.",150,9,FALSE,"2014/10/01 00:00:00","2015-06-01",244,"Contrast"
"NCT01826305","no reason posted",120,23,FALSE,"2014/07/01 00:00:00","2015-10-23",480,"Contrast"
"NCT02450201","Low accrual",10,5,FALSE,"2016/10/12 00:00:00","2017-01-17",98,"Contrast"
"NCT01695473","Lack of Accrual",24,11,TRUE,"2013/04/23 00:00:00","2015-02-05",654,"Contrast"
"NCT01442714","Lack of efficacy - Inability to meet the primary response endpoint",50,33,TRUE,"2011/08/01 00:00:00","2014-08-01",1097,"Contrast"
"NCT01055028","Poor accrual",20,18,TRUE,"2010/02/01 00:00:00","2016-03-01",2221,"Contrast"
"NCT02206776","poor tolerability and low enrollment rate",50,2,TRUE,"2014/09/01 00:00:00","2015-05-01",243,"Contrast"
"NCT01719861","Lack of efficacy",10,6,TRUE,"2012/10/01 00:00:00","2014-05-01",578,"Contrast"
"NCT01965002","Accrual factor",30,5,TRUE,"2014/05/01 00:00:00","2015-03-24",328,"Contrast"
"NCT02855086","logistics",10,3,TRUE,"2016/10/01 00:00:00","2016-11-08",39,"Contrast"
"NCT02736578","Logistics",10,8,TRUE,"2016/07/01 00:00:00","2017-04-24",298,"Contrast"
"NCT02757547","Business decision to discontinue development of this investigational device.",10,2,TRUE,"2015/09/01 00:00:00","2017-11-15",807,"Contrast"
"NCT01034514","business decision",30,35,FALSE,"2009/12/01 00:00:00","2014-06-24",1667,"Contrast"
"NCT01094587","Enrollment difficulty",54,39,FALSE,"2009/11/01 00:00:00","2015-06-24",2062,"Contrast"
"NCT01123005","Logistical",40,28,FALSE,"2010/12/01 00:00:00","2015-08-21",1725,"Contrast"
"NCT01987375","logistics",12,1,FALSE,"2015/11/01 00:00:00","2017-04-19",536,"Contrast"
"NCT01067144","Trial met futility stopping point",560,422,TRUE,"2010/05/01 00:00:00","2016-07-01",2254,"Contrast"
"NCT02586415","Interim analysis showed a high likelihood of benefit in the endovascular group",476,182,TRUE,"2016/04/01 00:00:00","2017-08-01",488,"Contrast"
"NCT02303041","Business Decision",40,10,TRUE,"2015/02/01 00:00:00","2017-04-01",791,"Contrast"
"NCT01020812","enrollment was too low",24,11,TRUE,"2009/09/01 00:00:00","2014-03-01",1643,"Contrast"
"NCT01506726","Study drug expiration and supply shortage",60,11,TRUE,"2012/03/01 00:00:00","2014-10-01",945,"Contrast"
"NCT01868503","Protocol modification",22,7,TRUE,"2013/07/01 00:00:00","2014-12-01",519,"Contrast"
"NCT01406795","Poor enrollment and advances in venoplasty only techniques of the femoral vein",15,1,TRUE,"2010/12/01 00:00:00","2014-12-01",1462,"Contrast"
"NCT01313884","Study did not reach primary objective; study did not accrue enough patients.",20,3,TRUE,"2011/05/01 00:00:00","2013-11-01",916,"Contrast"
"NCT01893879","insufficient enrollment",120,14,TRUE,"2014/04/01 00:00:00","2015-04-01",366,"Contrast"
"NCT01928030","Low accrual",23,3,TRUE,"2013/12/01 00:00:00","2015-11-01",701,"Contrast"
"NCT01364259","Patterns of practice changed and this technique is no longer used.",208,17,TRUE,"2008/09/01 00:00:00","2014-01-01",1949,"Contrast"
"NCT01769222","Planned Future Study",69,3,TRUE,"2013/02/01 00:00:00","2014-11-01",639,"Contrast"
"NCT03023709","Due to the ACIP guidelines halting the use of LAIV",NA,3,TRUE,"2015/09/01 00:00:00","2015-12-01",92,"Contrast"
"NCT01823679","Low accrual",19,2,TRUE,"2013/03/01 00:00:00","2014-05-01",427,"Contrast"
"NCT02030405","Regulatory",16,4,TRUE,"2014/03/01 00:00:00","2015-11-01",611,"Contrast"
"NCT02175745","Re-evaluate indication with the referring physicians",50,2,TRUE,"2014/12/01 00:00:00","2015-08-01",244,"Contrast"
"NCT03028987","LAIV was no longer recommended by ACIP",NA,10,TRUE,"2014/11/19 00:00:00","2015-11-18",365,"Contrast"
"NCT00481832","Accrual Factor",25,50,TRUE,"2007/01/01 00:00:00","2014-10-27",2857,"Contrast"
"NCT02877732","The funding sponsor elected to terminate the study.",100,12,TRUE,"2016/07/01 00:00:00","2017-04-01",275,"Contrast"
"NCT02415608","Slow accrual",11,4,TRUE,"2015/03/01 00:00:00","2017-03-14",745,"Contrast"
"NCT01846624","Accrual factor",36,13,TRUE,"2013/06/01 00:00:00","2016-07-22",1148,"Contrast"
"NCT03206216","Business decision",50,1,TRUE,"2017/08/04 00:00:00","2017-10-30",88,"Contrast"
"NCT01472445","Slow accrual",60,41,TRUE,"2011/11/01 00:00:00","2014-10-01",1066,"Contrast"
"NCT00568633","Poor accrual",150,58,TRUE,"2007/08/01 00:00:00","2017-12-01",3776,"Contrast"
"NCT03061279","Problem negotiating other sites",500,1,TRUE,"2017/04/01 00:00:00","2017-10-26",209,"Contrast"
"NCT01745354","Accrual issues - Slow accrual",12,6,FALSE,"2012/08/01 00:00:00","2014-11-01",823,"Contrast"
"NCT01857752","accrual",16,3,FALSE,"2012/03/01 00:00:00","2015-06-01",1188,"Contrast"
"NCT01904643","Accrual factor",30,17,FALSE,"2014/02/01 00:00:00","2015-05-13",467,"Contrast"
"NCT02075190","Dr. Gyurak is no longer doing and ended her NARSAD early.",150,89,FALSE,"2014/02/01 00:00:00","2015-08-01",547,"Contrast"
"NCT02436460","Re-initiate a new trial per the discussion with FDA",12,4,FALSE,"2015/05/01 00:00:00","2016-03-01",306,"Contrast"
"NCT02042157","Equipment malfunction.",400,28,FALSE,"2015/01/01 00:00:00","2016-12-01",701,"Contrast"
"NCT02890875","Low recruitment",40,3,FALSE,"2016/08/01 00:00:00","2018-09-01",762,"Contrast"
"NCT01188486","Business decision",12,12,FALSE,"2010/08/01 00:00:00","2017-04-30",2465,"Contrast"
"NCT02429804","Accrual factor",15,4,FALSE,"2015/04/01 00:00:00","2017-05-15",776,"Contrast"
"NCT02435225","Change in goals of PI",50,14,FALSE,"2014/05/01 00:00:00","2014-06-01",32,"Contrast"
"NCT02708511","no reason posted",10,2,FALSE,"2016/08/01 00:00:00","2017-10-11",437,"Contrast"
"NCT02049801","logistics",19,1,FALSE,"2014/12/01 00:00:00","2015-02-04",66,"Contrast"
"NCT02635074","safety",18,2,FALSE,"2016/11/01 00:00:00","2017-07-18",260,"Contrast"
"NCT01192776","The trial closed for emerging safety profile and futility analysis and will not resume.",726,364,TRUE,"2010/09/01 00:00:00","2016-03-01",2009,"Contrast"
"NCT01954082","Study terminated due to safety concerns; participant follow up will continue until March 2018",1760,638,TRUE,"2014/04/17 00:00:00","2016-06-01",793,"Contrast"
"NCT01614652","Company is closed",478,331,FALSE,"2012/12/01 00:00:00","2017-06-01",1644,"Contrast"
"NCT02057991","Insufficient Accrual",300,94,FALSE,"2014/01/07 00:00:00","2017-01-01",1097,"Contrast"
"NCT03115385","Funds ended.",NA,22,FALSE,"2015/05/30 00:00:00","2016-04-11",318,"Contrast"
"NCT01302405","closing due to low enrollment, no safety issues",64,23,FALSE,"2011/02/01 00:00:00","2015-01-01",1431,"Contrast"
"NCT01153919","Approval of several new agents for the treatment of HCV infection would mitigate the future need for interferon HCV treatment",36,27,FALSE,"2010/06/30 00:00:00","2014-07-14",1476,"Contrast"
"NCT01801046","Insufficient Accrual",35,10,FALSE,"2013/03/06 00:00:00","2017-07-27",1605,"Contrast"
"NCT01238965","Adverse Events",50,7,FALSE,"2010/10/01 00:00:00","2015-06-01",1705,"Contrast"
"NCT00556907","Lack of Funding",116,22,FALSE,"2007/10/01 00:00:00","2013-12-01",2254,"Contrast"
"NCT01469338","lack of funding",50,9,FALSE,"2012/07/01 00:00:00","2014-10-01",823,"Contrast"
"NCT02967380","Insufficient Accrual",NA,14,FALSE,"2011/12/14 00:00:00","2014-05-01",883,"Contrast"
"NCT02270684","Recruitment and retention difficulties",50,4,TRUE,"2015/05/01 00:00:00","2016-01-01",246,"Contrast"
"NCT01866423","Not progressing toward scientific goals",50,4,TRUE,"2013/10/25 00:00:00","2015-10-01",731,"Contrast"
"NCT01518465","Insufficient Accrual",30,13,FALSE,"2012/01/09 00:00:00","2016-12-31",1819,"Contrast"
"NCT02370264","Study not progressing toward scientific goals",150,36,FALSE,"2012/10/01 00:00:00","2015-09-02",1067,"Contrast"
"NCT02127892","Closed due to slow accrual. Nine subjects enrolled over 7 years.",15,9,TRUE,"2007/01/02 00:00:00","2016-08-01",3500,"Contrast"
"NCT03104816","Could not get an approval from Department Reviewer for the study continuation.",128,28,TRUE,"2016/10/01 00:00:00","2017-10-01",366,"Contrast"
"NCT01649258","Lack of Efficacy",39,29,FALSE,"2012/09/04 00:00:00","2017-09-04",1827,"Contrast"
"NCT02067884","Slow accrual",50,34,FALSE,"2013/12/19 00:00:00","2016-09-25",1012,"Contrast"
